"Level.4","CellId","ImageId"
"Cytotoxic",673,"image_1"
"Cytotoxic",674,"image_1"
"Cytotoxic",675,"image_1"
"Cytotoxic",676,"image_1"
"Cytotoxic",677,"image_1"
"Cytotoxic",678,"image_1"
"Cytotoxic",679,"image_1"
"Cytotoxic",680,"image_1"
"Cytotoxic",681,"image_1"
"Cytotoxic",682,"image_1"
"Cytotoxic",683,"image_1"
"Cytotoxic",684,"image_1"
"Cytotoxic",685,"image_1"
"Reg",686,"image_1"
"Cytotoxic",687,"image_1"
"Cytotoxic",688,"image_1"
"Cytotoxic",689,"image_1"
"Cytotoxic",690,"image_1"
"Cytotoxic",691,"image_1"
"other",692,"image_1"
"Cytotoxic",693,"image_1"
"Cytotoxic",694,"image_1"
"Cytotoxic",695,"image_1"
"Reg",696,"image_1"
"Cytotoxic",697,"image_1"
"Cytotoxic",698,"image_1"
"Cytotoxic",699,"image_1"
"Cytotoxic",700,"image_1"
"Cytotoxic",701,"image_1"
"other",702,"image_1"
"Cytotoxic",703,"image_1"
"Cytotoxic",704,"image_1"
"other",705,"image_1"
"Cytotoxic",706,"image_1"
"Cytotoxic",707,"image_1"
"Cytotoxic",708,"image_1"
"Cytotoxic",709,"image_1"
"Cytotoxic",710,"image_1"
"Cytotoxic",711,"image_1"
"Cytotoxic",712,"image_1"
"other",713,"image_1"
"Cytotoxic",714,"image_1"
"Cytotoxic",715,"image_1"
"Cytotoxic",716,"image_1"
"Cytotoxic",717,"image_1"
"Cytotoxic",718,"image_1"
"Cytotoxic",719,"image_1"
"Cytotoxic",720,"image_1"
"Cytotoxic",721,"image_1"
"Cytotoxic",722,"image_1"
"other",723,"image_1"
"Cytotoxic",724,"image_1"
"other",725,"image_1"
"other",726,"image_1"
"Cytotoxic",727,"image_1"
"Reg",728,"image_1"
"Cytotoxic",729,"image_1"
"Cytotoxic",730,"image_1"
"Cytotoxic",731,"image_1"
"Cytotoxic",732,"image_1"
"Cytotoxic",733,"image_1"
"Cytotoxic",734,"image_1"
"Cytotoxic",735,"image_1"
"Cytotoxic",736,"image_1"
"Cytotoxic",737,"image_1"
"Cytotoxic",738,"image_1"
"Reg",739,"image_1"
"Cytotoxic",740,"image_1"
"Cytotoxic",741,"image_1"
"other",742,"image_1"
"Cytotoxic",743,"image_1"
"Cytotoxic",744,"image_1"
"Cytotoxic",745,"image_1"
"other",746,"image_1"
"Cytotoxic",747,"image_1"
"other",748,"image_1"
"Cytotoxic",749,"image_1"
"Reg",750,"image_1"
"other",751,"image_1"
"Cytotoxic",752,"image_1"
"Cytotoxic",753,"image_1"
"Cytotoxic",754,"image_1"
"Cytotoxic",755,"image_1"
"Cytotoxic",756,"image_1"
"Reg",757,"image_1"
"other",758,"image_1"
"Cytotoxic",759,"image_1"
"other",760,"image_1"
"Reg",761,"image_1"
"other",762,"image_1"
"Cytotoxic",763,"image_1"
"Reg",764,"image_1"
"Reg",765,"image_1"
"Cytotoxic",766,"image_1"
"other",767,"image_1"
"Cytotoxic",768,"image_1"
"other",769,"image_1"
"Cytotoxic",770,"image_1"
"Cytotoxic",771,"image_1"
"Reg",772,"image_1"
"Cytotoxic",773,"image_1"
"Cytotoxic",774,"image_1"
"other",775,"image_1"
"Cytotoxic",776,"image_1"
"Cytotoxic",777,"image_1"
"other",778,"image_1"
"Cytotoxic",779,"image_1"
"Cytotoxic",780,"image_1"
"Cytotoxic",781,"image_1"
"Cytotoxic",782,"image_1"
"other",783,"image_1"
"Cytotoxic",784,"image_1"
"other",785,"image_1"
"Cytotoxic",786,"image_1"
"Cytotoxic",787,"image_1"
"other",788,"image_1"
"Cytotoxic",789,"image_1"
"Cytotoxic",790,"image_1"
"Cytotoxic",791,"image_1"
"Cytotoxic",792,"image_1"
"Cytotoxic",793,"image_1"
"Cytotoxic",794,"image_1"
"other",795,"image_1"
"other",796,"image_1"
"Cytotoxic",797,"image_1"
"Cytotoxic",798,"image_1"
"Cytotoxic",799,"image_1"
"Cytotoxic",800,"image_1"
"Cytotoxic",801,"image_1"
"Cytotoxic",802,"image_1"
"Cytotoxic",803,"image_1"
"Cytotoxic",804,"image_1"
"Cytotoxic",805,"image_1"
"Cytotoxic",806,"image_1"
"Cytotoxic",807,"image_1"
"Cytotoxic",808,"image_1"
"Cytotoxic",809,"image_1"
"Cytotoxic",810,"image_1"
"other",811,"image_1"
"Cytotoxic",812,"image_1"
"Reg",813,"image_1"
"Cytotoxic",814,"image_1"
"Reg",815,"image_1"
"Cytotoxic",816,"image_1"
"Cytotoxic",817,"image_1"
"Cytotoxic",818,"image_1"
"Cytotoxic",819,"image_1"
"Cytotoxic",820,"image_1"
"other",821,"image_1"
"Cytotoxic",822,"image_1"
"Cytotoxic",823,"image_1"
"Cytotoxic",824,"image_1"
"Cytotoxic",825,"image_1"
"Cytotoxic",826,"image_1"
"Tumor Cells",827,"image_1"
"other",828,"image_1"
"Reg",829,"image_1"
"Cytotoxic",830,"image_1"
"Cytotoxic",831,"image_1"
"other",832,"image_1"
"Reg",833,"image_1"
"Cytotoxic",834,"image_1"
"Cytotoxic",835,"image_1"
"other",836,"image_1"
"Cytotoxic",837,"image_1"
"other",838,"image_1"
"other",839,"image_1"
"Cytotoxic",840,"image_1"
"Cytotoxic",841,"image_1"
"Cytotoxic",842,"image_1"
"other",843,"image_1"
"Tumor Cells",844,"image_1"
"other",845,"image_1"
"Reg",846,"image_1"
"Reg",847,"image_1"
"Reg",848,"image_1"
"Tumor Cells",849,"image_1"
"Cytotoxic",850,"image_1"
"Reg",851,"image_1"
"Reg",852,"image_1"
"Cytotoxic",853,"image_1"
"Cytotoxic",854,"image_1"
"Cytotoxic",855,"image_1"
"Cytotoxic",856,"image_1"
"Cytotoxic",857,"image_1"
"Cytotoxic",858,"image_1"
"Reg",859,"image_1"
"Cytotoxic",860,"image_1"
"Cytotoxic",861,"image_1"
"Cytotoxic",862,"image_1"
"Cytotoxic",863,"image_1"
"Cytotoxic",864,"image_1"
"Cytotoxic",865,"image_1"
"Cytotoxic",866,"image_1"
"Cytotoxic",867,"image_1"
"other",868,"image_1"
"Reg",869,"image_1"
"Reg",870,"image_1"
"Cytotoxic",871,"image_1"
"Cytotoxic",872,"image_1"
